State,Medical Neglect Only,Neglect Only,Other Only,Physical Abuse Only,Psychological Maltreatment Only,Sexual Abuse Only,Sex Trafficking Only,Unknown Only,Multiple Maltreatment Types,Total Victims,Medical Neglect Only Percent,Neglect Only Percent,Other Only Percent,Physical Abuse Only Percent,Psychological Maltreatment Only Percent,Sexual Abuse Only Percent,Sex Trafficking Only Percent,Unknown Only Percent,Multiple Maltreatment Types Percent,Total Victims Percent
Alabama,49,3380,,5114,16,1828,3,,1287,11677,0.4,28.9,,43.8,0.1,15.7,0,,11,100
Alaska,37,1445,,111,327,183,1,,955,3059,1.2,47.2,,3.6,10.7,6,0,,31.2,100
Arizona,,11332,,682,1,389,,,443,12847,,88.2,,5.3,0,3,,,3.4,100
Arkansas,1279,3421,1,1286,25,1415,,,995,8422,15.2,40.6,0,15.3,0.3,16.8,,,11.8,100
California,,50799,117,2161,2115,2264,,,6659,64115,,79.2,0.2,3.4,3.3,3.5,,,10.4,100
Colorado,80,9517,,854,126,990,,9,670,12246,0.7,77.7,,7,1,8.1,,0.1,5.5,100
Connecticut,87,4709,,172,599,181,,,2294,8042,1.1,58.6,,2.1,7.4,2.3,,,28.5,100
Delaware,,313,120,161,404,121,,,129,1248,,25.1,9.6,12.9,32.4,9.7,,,10.3,100
District of Columbia,,1492,,175,,45,14,,131,1857,,80.3,,9.4,,2.4,0.8,,7.1,100
Florida,616,12893,8201,1742,156,2354,,,6953,32915,1.9,39.2,24.9,5.3,0.5,7.2,,,21.1,100
Georgia,148,5992,,840,1447,693,27,,955,10102,1.5,59.3,,8.3,14.3,6.9,0.3,,9.5,100
Hawaii,,47,918,31,2,23,13,,308,1342,,3.5,68.4,2.3,0.1,1.7,1,,23,100
Idaho,7,1349,3,306,,100,,,104,1869,0.4,72.2,0.2,16.4,,5.4,,,5.6,100
Illinois,441,22234,22,3856,29,3798,,,2951,33331,1.3,66.7,0.1,11.6,0.1,11.4,,,8.9,100
Indiana,,19006,,856,,2060,4,,1103,23029,,82.5,,3.7,,8.9,0,,4.8,100
Iowa,44,6105,1754,845,43,566,,,2291,11648,0.4,52.4,15.1,7.3,0.4,4.9,,,19.7,100
