State,2015,2016,2017,2018,2019
Alabama,6075,7280,7817,8791,8376
Alaska,2255,2424,2177,2032,2294
Arizona,12232,11107,10180,15395,12909
Arkansas,7831,8221,8049,7424,7118
California,57344,55304,52707,58362,55830
Colorado,8797,9818,10078,10253,10478
Connecticut,5571,6470,6938,6292,6497
Delaware,1202,1281,1236,976,977
District of Columbia,946,961,1112,1136,1257
Florida,32421,31333,30364,27844,24927
Georgia,,,7647,8612,8107
Hawaii,1235,1195,1086,1098,1158
Idaho,1417,1650,1697,1774,1774
Illinois,21571,20668,20652,22275,23858
Indiana,20385,22090,22534,20159,18477
Iowa,5919,6437,7867,8529,8327
Kansas,1653,2017,3525,2594,2473
Kentucky,13191,12975,16614,17400,14731
Louisiana,10665,9682,9172,7983,7574
Maine,3085,3158,3042,3021,3874
Maryland,5700,5869,6296,6507,6559
Massachusetts,25272,25452,20385,20750,20075
Michigan,28753,30902,31306,30705,26210
Minnesota,4013,5792,6469,5617,4951
Mississippi,6726,8368,8688,8252,7793
Missouri,4940,4765,4013,5108,4252
Montana,1316,2332,2615,2704,2686
Nebraska,2445,1976,2240,1859,2022
Nevada,3975,3989,3936,4168,4010
New Hampshire,673,816,1074,1154,1112
New Jersey,7518,6447,5097,4589,4026
New Mexico,7421,6504,7260,6832,6702
New York,52852,51199,56260,54550,52669
North Carolina,4110,3710,3832,3409,2770
North Dakota,1276,1344,1450,1558,1344
Ohio,18690,19294,20290,20567,21190
Oklahoma,12807,12323,12548,12929,12901
Oregon,8010,8999,8458,9486,10056
Pennsylvania,3648,4653,5062,4865,4941
Puerto Rico,5245,,4415,3347,3666
Rhode Island,2464,2309,2467,2846,2508
South Carolina,11418,13210,12599,14350,13630
South Dakota,694,881,941,933,1099
Tennessee,9881,9611,9231,9116,9428
Texas,50880,45926,48380,49563,49969
Utah,7303,7284,7543,7784,7851
Vermont,732,695,724,782,709
Virginia,5014,4901,5092,5074,5005
Washington,5044,4207,3805,3881,3693
West Virginia,4402,5242,5692,6252,5959
Wisconsin,3904,3886,3933,4031,3668
Wyoming,716,728,721,780,849
National,521637,517685,537316,546298,525319
Reporting States,51,50,52,52,52
