State,Screened-in Referrals (reports),Screened-out Referrals,Total Referrals,Screened-in Referrals (reports) Percent,Screened-out Referrals Percent,"Total Referrals Rate per 1,000"
Alabama,28656,470,29126,98.4,1.6,26.8
Alaska,10713,12926,23639,45.3,54.7,131.3
Arizona,45302,36182,81484,55.6,44.4,49.7
Arkansas,33755,25539,59294,56.9,43.1,84.7
California,224212,179708,403920,55.5,44.5,45.4
Colorado,36079,71261,107340,33.6,66.4,85.2
Connecticut,14645,37258,51903,28.2,71.8,71.4
Delaware,6002,14105,20107,29.9,70.1,98.8
District of Columbia,6404,11198,17602,36.4,63.6,137.3
Florida,163494,86684,250178,65.4,34.6,59.1
Georgia,85309,39463,124772,68.4,31.6,49.8
Hawaii,2377,2755,5132,46.3,53.7,17.1
Idaho,11117,11382,22499,49.4,50.6,50.2
Illinois,86705,,86705,,,
Indiana,120208,56762,176970,67.9,32.1,112.9
Iowa,33319,19315,52634,63.3,36.7,72.4
Kansas,31895,19526,51421,62,38,73.4
Kentucky,50779,54364,105143,48.3,51.7,104.8
Louisiana,20597,31840,52437,39.3,60.7,48.2
Maine,10874,12659,23533,46.2,53.8,94.6
Maryland,21886,40465,62351,35.1,64.9,46.7
Massachusetts,43923,41988,85911,51.1,48.9,63.5
Michigan,95735,56109,151844,63,37,70.8
Minnesota,31059,59202,90261,34.4,65.6,69.3
Mississippi,28106,8149,36255,77.5,22.5,51.9
Missouri,61556,23937,85493,72,28,62.4
Montana,10199,,10199,,,
Nebraska,12642,24614,37256,33.9,66.1,78.3
Nevada,15659,25094,40753,38.4,61.6,58.8
New Hampshire,10288,7342,17630,58.4,41.6,69.1
New Jersey,60934,,60934,,,
New Mexico,21733,19486,41219,52.7,47.3,86.6
New York,163917,,163917,,,
North Carolina,55122,,55122,,,
North Dakota,3985,,3985,,,
Ohio,89004,111729,200733,44.3,55.7,77.9
Oklahoma,36758,45680,82438,44.6,55.4,86.6
Oregon,39778,43666,83444,47.7,52.3,96.3
Pennsylvania,41951,,41951,,,
Puerto Rico,8365,9109,17474,47.9,52.1,30.5
Rhode Island,7294,11617,18911,38.6,61.4,92.5
South Carolina,47105,12135,59240,79.5,20.5,53.3
South Dakota,2379,12495,14874,16,84,68.5
Tennessee,76162,65686,141848,53.7,46.3,93.9
Texas,198106,53107,251213,78.9,21.1,33.9
Utah,20909,21325,42234,49.5,50.5,45.4
Vermont,4015,15545,19560,20.5,79.5,171.6
Virginia,36780,50511,87291,42.1,57.9,46.9
Washington,43874,68109,111983,39.2,60.8,67.3
West Virginia,26919,15919,42838,62.8,37.2,119.1
Wisconsin,26797,54638,81435,32.9,67.1,64.3
Wyoming,2943,4637,7580,38.8,61.2,56.7
National,2368325,1625691,3994016,59.3,40.7,
Reporting States,52,45,52,,,
National for states reporting both screened-in and screened-out referrals,1945512,1625691,3571203,54.5,45.5,
Reporting states for reporting both screened-in and screened-out referrals,45,45,45,,,
